Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
551,010010010001001000001000011011000001110100011000,1,7,[(5  1)  (4  0)  (1  7)  (3  3)  (4  1)  (1  4)  (4  6)],3,4,000110101111101100111110000100001101100010010010,0001101000010010,0.094,1.262950640557028
552,100100100010010000010000110110000011101000110000,0,8,[(3  2)  (5  0)  (4  0)  (1  7)  (2  7)  (1  0)  (2  1)  (3  6)],0,6,100100101010010101010001111110101011101010110000,1001001010000011,2.018,1.262950640557028
501,000100000111101111101000010111001110011001001100,1,6,[(0  5)  (5  2)  (4  7)  (0  1)  (4  4)  (2  5)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,0.032,0.8573023679985362
532,010111001101010110110000001000011000101010110100,0,7,[(0  7)  (5  7)  (5  1)  (0  6)  (3  6)  (1  2)  (1  6)],0,13,010111111111011110110000001000111000101011110101,0101111101101011,0.435,0.9671126319527276
518,001000000000000110000011100000001000000000111100,0,8,[(4  7)  (3  3)  (1  1)  (2  1)  (4  4)  (3  2)  (4  6)  (1  2)],3,2,001111001101000100001101110000111000011000000100,0011110011001000,12.838,1.1849453674027952
535,000000000101011101011001000100001001110011100100,0,8,[(3  7)  (1  0)  (0  3)  (2  5)  (4  2)  (0  4)  (3  6)  (4  1)],0,12,000110001101011101011101000100111111110011100100,0001100011001001,10.335,1.338989885120068
537,010100101001101011001100010100111100001011001001,1,6,[(5  6)  (5  3)  (1  7)  (4  5)  (4  4)  (1  5)],0,13,010100101001111111001100010100111100111011011011,0101001001110110,0.032,1.2728346777388315
555,101000010100000101000111010110001001011100001000,1,4,[(0  5)  (2  0)  (1  2)  (4  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.038,1.2651594298454771
521,000011001100100101000000000000010100000010011000,1,7,[(5  1)  (0  1)  (4  0)  (2  5)  (0  6)  (1  5)  (4  5)],0,12,010011101100110101000100000000011100010011011000,0100111001000110,10.996,1.0443042268267224
509,000000000000000000000001000000000001110101010000,0,8,[(0  6)  (4  1)  (0  1)  (4  0)  (1  7)  (4  2)  (2  5)  (1  1)],3,10,000010101011111100000000101000001000001001000010,0000101000010000,10.17,1.0889245678363837
494,001000000000001010010100000110011010101111101000,1,8,[(3  5)  (5  6)  (1  7)  (0  4)  (5  3)  (0  7)  (0  5)  (1  1)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,0.088,1.0943731747535426
467,111100100010100111010001001100101010101001010000,1,4,[(4  7)  (3  5)  (0  7)  (0  5)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,0.734,1.263190249737413
530,000010100111000000000001000110011110011100000000,1,6,[(1  5)  (5  0)  (0  2)  (5  4)  (1  7)  (3  1)],3,11,000100011110011110011010100000001010111001010100,0001000100001010,8.329,1.098693887190595
