Line number in file, origami,status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time,fit quality
101001000010000111000110010110001101011100001000,1,3,[(2  7)  (0  7)  (1  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.356,133,1.4578174167079825
010110000100001100000001010110011010000110000000,1,5,[(2  4)  (5  5)  (2  0)  (3  2)  (1  5)],3,3,001000011000010110011110100100011110001000011010,0010000101010110,0.029,134,1.42302786266271
001000011000000110011100000100111100000000001000,0,8,[(1  5)  (0  6)  (2  6)  (2  2)  (5  5)  (0  4)  (1  3)  (3  5)],0,1,001010111001010110111110000101111100000000001100,0010101101001100,4.04,135,0.9810580478140424
010000001110010010100000001011001000000010100100,0,8,[(0  0)  (0  3)  (4  6)  (5  4)  (4  3)  (4  7)  (2  1)  (3  6)],1,14,101011001001001100101110111000001110010011010000,1010110000000010,8.417,142,1.329764166463614
011000101101000100000010110111100101110001101000,1,6,[(0  4)  (0  5)  (4  0)  (4  2)  (2  5)  (1  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,0.836,153,1.0926993756070535
100000000010011010111000001011011001010101100000,1,4,[(1  7)  (5  5)  (1  3)  (1  4)],3,1,001001101010100110110100000111011111110000000001,0010011001100000,0.028,158,1.1217720334913115
101001010110000111000111010110001100011000001000,1,2,[(4  7)  (4  3)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.015,160,0.9075700746714438
010111110101000110111000001010011100001010110100,1,2,[(1  0)  (1  5)],0,5,010111111101010110111000001010011100001010110100,0101111101001011,0.015,163,0.8160976530510496
000111001100010010100000111000100011101101110010,0,8,[(2  3)  (4  0)  (5  4)  (0  7)  (2  1)  (2  7)  (2  5)  (1  2)],1,3,011110101011101111100010111101011110010000011101,0111101001101110,12.425,164,1.1068809202155532
000101000011001100001001001010000001000000001110,0,8,[(4  7)  (0  4)  (4  0)  (5  0)  (3  3)  (1  4)  (2  5)  (4  6)],3,2,011100011100100100011100101100001101110000111000,0111000100000111,26.748,167,1.2111973928057942
010001000011001011100100010111000110111101101100,1,6,[(2  4)  (4  0)  (1  7)  (0  3)  (1  4)  (1  1)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,3.388,175,1.0126861879167457
001000101101010100000100100110101111110001100000,1,7,[(5  4)  (0  4)  (0  5)  (0  1)  (3  1)  (2  6)  (3  5)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,7.288,180,1.1580420559299254
111010000010001000111001001110000001101101011010,1,6,[(2  5)  (5  0)  (5  2)  (4  0)  (1  7)  (1  5)],3,2,010111111101100100011100101111001110010000010111,0101111100111010,13.203,191,1.2233530054237267
001111000010000000000100010101000010000001100000,0,8,[(0  0)  (4  7)  (5  3)  (2  2)  (4  1)  (1  7)  (4  0)  (3  2)],3,0,000011101000011100101110001001001000010000111101,0000111000101111,0.36,197,1.0703654771283573
000000001010010100100101110000000110100101100100,0,7,[(5  6)  (5  0)  (5  4)  (0  1)  (1  3)  (3  6)  (3  5)],2,9,000000101010110110100100011000111001011001110111,0000001001111011,18.028,201,1.1091447247059043
001100001001110101001000000100101100111011001011,0,7,[(4  3)  (2  3)  (0  6)  (1  6)  (2  6)  (2  5)  (1  2)],0,12,001100101011111101011110000100101101111011001011,0011001000110100,0.222,206,1.030701377490902
010101000101000000000000110101001110010001000100,0,7,[(0  0)  (4  7)  (3  4)  (3  2)  (1  7)  (2  5)  (1  5)],3,0,001000101010011100111111001000001010101000101011,0010001010110101,6.206,208,1.1124074508534298
110010110100001111000010001000111100100101001010,1,7,[(0  3)  (3  3)  (2  4)  (1  2)  (4  2)  (1  3)  (4  3)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,0.907,212,1.0134762753749589
010101000110101111101100000110001110111101101100,1,3,[(3  1)  (1  3)  (3  5)],3,0,001101101111011100111010001101111101111000101010,0011011001010101,0.016,213,0.9282364116352714
010100000001011101000000010000111100101011000000,0,8,[(5  4)  (5  5)  (4  7)  (0  6)  (4  2)  (2  3)  (2  2)  (1  1)],3,9,001100111101011111000010000011101110101001001010,0011001100010100,0.518,217,1.3121463058530975
000011101100010101000000000000001100000000011000,0,6,[(3  0)  (0  0)  (3  1)  (2  4)  (0  2)  (1  3)],0,2,101011101101010101001000110000001100000000011000,1010111000000110,0.436,223,1.021369777803225
010101001000000100100000110110001100100010000100,1,4,[(2  0)  (2  1)  (4  3)  (1  2)],0,7,010101001010000111100000110110001101100010000100,0101010000001000,0.029,227,0.6893511156281517
001001101010100000110100000111011111110000000000,1,3,[(5  7)  (2  0)  (1  7)],0,1,001001101010100110110100000111011111110000000001,0010011001100000,5.382,229,1.0536807457333033
001000001010111000000000000100011110000000100101,1,8,[(2  1)  (5  1)  (3  6)  (4  5)  (1  3)  (1  7)  (3  1)  (2  5)],0,8,001000001011111101000100010100111110010001100101,0010000001101001,5.373,239,1.3127045383861695
001000000111000100000000100100001100011010001100,0,8,[(5  3)  (2  7)  (4  7)  (5  6)  (2  6)  (3  1)  (2  2)  (1  5)],3,2,011110011110001100001011110001001010111000000100,0111100110001000,7.536,243,1.0096631133886584
110110110111001110000010000100111110100101001010,1,4,[(2  4)  (2  1)  (4  3)  (3  2)],3,13,010100101001111111001100010100111100111011011011,0101001001110110,0.026,244,0.8226197645358875
001000000101001010101100000100011101000001101101,1,5,[(1  7)  (5  3)  (1  0)  (3  6)  (1  4)],0,9,001000001101101110101100000100111101000001111101,0010000001101111,0.055,249,1.3647454121253977
001001101000000100100100000111011101010000000001,0,8,[(0  3)  (1  1)  (4  6)  (5  0)  (5  1)  (2  7)  (3  6)  (1  2)],0,12,001101101110000100100101000111111101011011000001,0011011011100000,1.152,257,1.0877072440263709
000001100001111100111011010000000010100101110010,1,7,[(2  1)  (5  5)  (4  0)  (3  2)  (0  3)  (1  2)  (4  6)],3,10,011011101101010100000110110111101111110001101000,0110111000000101,1.931,260,1.025819328883513
001011010100001110010100000011001010101110011000,0,7,[(0  1)  (0  0)  (2  7)  (2  6)  (3  6)  (1  3)  (2  2)],3,6,000110011101010101110000111011011100101010110111,0001100101111011,7.492,266,1.129350267109833
000010100110010000000001000110011100011110001000,1,5,[(0  2)  (1  7)  (3  1)  (1  3)  (4  2)],3,11,000100011110011110011010100000001010111001010100,0001000100001010,0.042,267,1.4248491587279868
000100100010001010000000000000100011000101010010,1,7,[(4  0)  (1  7)  (0  7)  (0  4)  (5  2)  (3  2)  (4  6)],3,12,010011101100110101000100000000011100010011011000,0100111001000110,26.679,271,0.9348756300456328
001001100010000111001000000000100111110100000100,1,6,[(4  0)  (0  0)  (2  6)  (3  2)  (1  5)  (1  6)],3,8,001000001011111101000100010100111110010001100101,0010000001101001,6.548,275,1.3951672618483077
101001000010000101000111010110001101011100001000,1,3,[(2  0)  (0  7)  (1  1)],3,6,000100001110101100011010111000111000011010100101,0001000001101001,0.035,278,1.0457455588373596
110101100000100111010001001101000010100001010000,1,7,[(4  7)  (4  0)  (0  2)  (0  7)  (3  6)  (1  2)  (4  6)],3,14,000010101101010101101100100010111001010011101111,0000101001111101,4.117,280,1.2162262148196592
000111100101110110100000001010001100001010110100,0,8,[(3  7)  (2  6)  (1  2)  (2  3)  (1  0)  (0  1)  (3  6)  (3  5)],0,5,010111101111110110110010001011111100001010110100,0101111001001011,0.859,283,1.2742278894749308
100110010110001100000000001100101000110100001000,0,8,[(2  3)  (5  2)  (2  0)  (2  2)  (1  3)  (2  6)  (2  5)  (4  2)],3,4,000101001011010101001100011011011100111010011001,0001010001100110,8.471,284,1.1471440157342316
000000000010011010100001100111000001111101101100,-1,8,[(0  0)  (4  0)  (5  3)  (5  6)  (1  0)  (0  1)  (4  1)  (1  1)],1,15,011111101101111110011100101000011110011011000000,0111111001000000,20.817,286,1.3204553978390965
010011100101010100000110100011101101010001100000,1,7,[(1  0)  (0  2)  (5  4)  (3  3)  (3  1)  (4  4)  (4  2)],0,10,011011101101010100000110110111101111110001101000,0110111000000101,1.928,291,0.8786396642995277
001001000100001110010100000111011010101111111010,1,2,[(0  4)  (0  7)],3,5,010111111101010110111000001010011100001010110100,0101111101001011,1.646,293,1.346960846516411
000100101001101111000000010000001000101011001011,-1,7,[(1  5)  (0  5)  (3  6)  (3  0)  (0  0)  (4  5)  (1  1)],0,15,100101101101111111000000110000101000111011001011,1001011000110100,6.823,294,0.9679870886205704
